Game Type,Home,Away,Game,Team,Squad,Number,ACTION,Danger,Notes,Contested/Uncontested Chance,Period,Strength,,Team Totals All Situations: VAUGHAN KINGS,,,
OHL Cup,York Simcoe Express,Huron Perth Lakers,York Simcoe Express vs. Huron Perth Lakers,York Simcoe Express,Y,34,CE,,,,,EV,,,,,
OHL Cup,York Simcoe Express,Huron Perth Lakers,York Simcoe Express vs. Huron Perth Lakers,York Simcoe Express,Y,23,ASSIST,HD,,,,EV,,,,,
OHL Cup,York Simcoe Express,Huron Perth Lakers,York Simcoe Express vs. Huron Perth Lakers,York Simcoe Express,Y,18,GOAL,HD,,U,,EV,,,,,
OHL Cup,York Simcoe Express,Huron Perth Lakers,York Simcoe Express vs. Huron Perth Lakers,York Simcoe Express,Y,11,CE,,,,,EV,,,,,
OHL Cup,York Simcoe Express,Huron Perth Lakers,York Simcoe Express vs. Huron Perth Lakers,York Simcoe Express,Y,89,M,LD,,,,EV,,,,,
OHL Cup,York Simcoe Express,Huron Perth Lakers,York Simcoe Express vs. Huron Perth Lakers,York Simcoe Express,Y,4,B,LD,,,,EV,,,,,
OHL Cup,York Simcoe Express,Huron Perth Lakers,York Simcoe Express vs. Huron Perth Lakers,Huron Perth Lakers,H,88,CE,,,,,EV,,,,,
OHL Cup,York Simcoe Express,Huron Perth Lakers,York Simcoe Express vs. Huron Perth Lakers,Huron Perth Lakers,H,88,M,LD,,,,EV,,,,,
OHL Cup,York Simcoe Express,Huron Perth Lakers,York Simcoe Express vs. Huron Perth Lakers,Huron Perth Lakers,H,93,M,MD,,C,,EV,,,,,
OHL Cup,York Simcoe Express,Huron Perth Lakers,York Simcoe Express vs. Huron Perth Lakers,York Simcoe Express,Y,63,CE,,,,,EV,,,,,
OHL Cup,York Simcoe Express,Huron Perth Lakers,York Simcoe Express vs. Huron Perth Lakers,York Simcoe Express,Y,13,M,LD,,,,PP,,,,,
OHL Cup,York Simcoe Express,Huron Perth Lakers,York Simcoe Express vs. Huron Perth Lakers,York Simcoe Express,Y,18,UCE,,,,,PP,,,,,
OHL Cup,York Simcoe Express,Huron Perth Lakers,York Simcoe Express vs. Huron Perth Lakers,York Simcoe Express,Y,63,P,HD,,,,PP,,,,,
OHL Cup,York Simcoe Express,Huron Perth Lakers,York Simcoe Express vs. Huron Perth Lakers,York Simcoe Express,Y,63,P,HD,TIP,,,PP,,,,,
OHL Cup,York Simcoe Express,Huron Perth Lakers,York Simcoe Express vs. Huron Perth Lakers,York Simcoe Express,Y,25,M,HD,TIP,,,PP,,,,,
